,Close,MA10,EMA12,EMA26,MACD,UB,LB,ATR,RSI,pivot,s1,r1,s2,r2,s3,r3,CCI,mom,^GDAXI,^GSPC,^IXIC,usd_interest,usd_inflation,eur_interest,eur_inflation
2020-08-11,1.1737778186798096,1.1800479888916016,1.1749160768288451,1.1619760695570922,0.0129400072717529,1.2001811684026722,1.1322901665315623,0.011274184499468,47.21132778033427,1.1755317052205403,1.1705652872721355,1.1787442366282144,1.1673527558644614,1.1837106545766192,1.1623863379160566,1.1869231859842932,2.8658049590419887,-0.0077664852142333,12946.8896484375,3333.68994140625,10782.8203125,0.1,0.0,0.25,0.3
2020-08-12,1.1736538410186768,1.180225419998169,1.174721886704204,1.1628410896653578,0.0118807970388461,1.1997926157819203,1.1359370547426768,0.0113412482397896,51.72096422096422,1.1754073301951091,1.1695495446523032,1.179511626561483,1.1654452482859294,1.1853694121042888,1.1595874627431235,1.1894737084706626,3.2931743862939227,-0.0136280059814453,13058.6298828125,3380.35009765625,11012.240234375,0.1,0.45096,0.25,0.3
2020-08-13,1.179380178451538,1.180334782600403,1.1754385469730246,1.164066207353223,0.0113723396198015,1.1995548681503645,1.139940886091579,0.0117419021470205,51.074938718884894,1.1817493438720703,1.1770986318588257,1.1840308904647827,1.1748170852661133,1.1886816024780271,1.1701663732528689,1.1909631490707395,4.742565503795276,-0.0082682371139526,12993.7099609375,3373.429931640625,11042.5,0.1,0.45096,0.25,0.3
2020-08-14,1.1816558837890625,1.1797778248786923,1.1763950603293385,1.1653691463484703,0.0110259139808679,1.1983849642593818,1.1453552128951594,0.0108125124658856,43.70043173771058,1.1813077926635742,1.1788151264190674,1.1841485500335691,1.1759743690490725,1.1866412162780762,1.1734817028045654,1.1894819736480713,3.9070355878493936,0.0033831596374513,12901.33984375,3372.85009765625,11019.2998046875,0.1,0.45096,0.25,0.3
2020-08-17,1.1852554082870483,1.1804802656173703,1.1777581907843706,1.1668422027883651,0.0109159879960054,1.19764621910402,1.1501899296348412,0.0103906307901654,59.04948536571132,1.1854556798934937,1.1828396320343018,1.1878714561462402,1.1804238557815552,1.190487504005432,1.1778078079223633,1.1929032802581787,3.184734105999395,0.0114775896072387,12920.66015625,3381.989990234375,11129.73046875,0.1,0.45096,0.25,0.3
2020-08-18,1.1876484155654907,1.1816118836402894,1.1792797638276198,1.1683834037348189,0.0108963600928009,1.196469440110326,1.1555446365994215,0.0107375042779104,64.39522378281981,1.190566619237264,1.1846174399058025,1.1935975948969522,1.181586464246114,1.1995467742284138,1.1756372849146524,1.202577749888102,3.727590404218113,0.0139945745468139,12881.759765625,3389.780029296875,11210.83984375,0.09,0.45096,0.25,0.3
2020-08-19,1.1947859525680542,1.1829360485076903,1.181665331326148,1.1703391480928362,0.0113261832333118,1.197242670759849,1.1589097445157248,0.0106627345085143,66.0579583599571,1.1931955416997273,1.19093386332194,1.197047630945841,1.187081774075826,1.199309309323629,1.1848200956980386,1.2031613985697427,4.5048704806840805,0.0154057741165161,12977.330078125,3374.85009765625,11146.4599609375,0.09,0.45096,0.25,0.4
2020-08-20,1.1843500137329102,1.1826428651809693,1.182078359388727,1.171376989992101,0.010701369396626,1.1959738440538996,1.1629263930295353,0.0107785548482621,46.80831183392943,1.183948834737142,1.1810527245203652,1.1872461239496863,1.1777554353078206,1.1901422341664631,1.174859325091044,1.1934395233790078,2.792157722099165,0.0026941299438476,12830.0,3385.510009765625,11264.9501953125,0.09,0.45096,0.25,0.4
2020-08-21,1.1873664855957031,1.1826146721839903,1.1828919172667232,1.172561397073849,0.0103305201928738,1.194810639945631,1.1668653973659229,0.0104970676558357,49.70982378389786,1.1838310559590657,1.1790254513422649,1.192172090212504,1.1706844170888264,1.196977694829305,1.1658788124720254,1.2053187290827432,3.1320021922646823,0.0021110773086547,12764.7998046875,3397.159912109375,11311.7998046875,0.09,0.45096,0.25,0.4
2020-08-24,1.1798018217086792,1.1827675819396972,1.182416517950101,1.1730977248245775,0.0093187931255234,1.1934867848807629,1.1696437607353871,0.0105444874082292,51.634766605747096,1.1812256971995037,1.177195986111959,1.183831532796224,1.1745901505152383,1.1878612438837688,1.1705604394276938,1.1904670794804892,3.086618633863114,-0.0078465938568115,13066.5400390625,3431.280029296875,11379.7197265625,0.09,0.45096,0.25,0.4
2020-08-25,1.1794538497924805,1.1833351850509644,1.1819607228489286,1.1735685488962742,0.0083921739526544,1.1934587341033205,1.1699244398392454,0.0099538905279976,56.6587046753857,1.180782636006673,1.177152077356974,1.1830844084421792,1.174850304921468,1.1867149670918782,1.171219746271769,1.1890167395273843,2.0867968350510098,-0.0153321027755737,13061.6201171875,3443.6201171875,11466.4697265625,0.09,0.45096,0.25,0.4
2020-08-26,1.183501958847046,1.1843199968338012,1.1821978360794083,1.1743043570407758,0.0078934790386324,1.1931108405230366,1.1714345763089338,0.0097213728087288,60.57907542579076,1.181700348854065,1.179408311843872,1.1857939958572388,1.1753146648406982,1.1880860328674316,1.1730226278305054,1.1921796798706057,3.0883713741065684,-0.0008480548858642,13190.150390625,3478.72998046875,11665.0595703125,0.09,0.45096,0.25,0.4
2020-08-27,1.1842728853225708,1.1848092675209043,1.1825170744245102,1.1750427665431311,0.007474307881379,1.1932764630973614,1.171867587023946,0.0097592643329075,55.882091601434304,1.1835829019546509,1.1773128509521482,1.190542936325073,1.170352816581726,1.1968129873275757,1.1640827655792234,1.2037730216979978,3.688602660094776,-0.0030936002731323,13096.3603515625,3484.550048828125,11625.33984375,0.08,0.45096,0.25,0.4
2020-08-28,1.1819632053375244,1.1848399996757508,1.1824318637957432,1.175555391639012,0.0068764721567311,1.192788068014693,1.1718297565397504,0.0095802290099007,50.36916538265467,1.185065229733785,1.178093353907267,1.188935081164042,1.17422350247701,1.1959069569905598,1.1672516266504922,1.199776808420817,4.178927944244577,0.0021613836288452,13033.2001953125,3508.010009765625,11695.6298828125,0.09,0.45096,0.25,0.4
2020-08-31,1.1918240785598757,1.1854968667030334,1.183876819913302,1.176760479559076,0.007116340354226,1.194098360689389,1.171878771631015,0.0100242325237819,56.85877168961159,1.1922305822372437,1.1881029605865476,1.1959517002105713,1.18438184261322,1.200079321861267,1.180254220962524,1.203800439834595,4.409290359277192,0.0123702287673952,12945.3798828125,3500.31005859375,11775.4599609375,0.09,0.45096,0.25,0.4
2020-09-01,1.193901538848877,1.186122179031372,1.1854190843649288,1.1780301876546169,0.0073888967103119,1.1955256220275343,1.1722084406441269,0.0099772981234959,56.5725999453693,1.1962536970774331,1.1913783152898154,1.198776920636495,1.1888550917307537,1.203652302424113,1.1839797099431355,1.2061755259831748,4.723068253110276,0.010399580001831,12974.25,3526.64990234375,11939.669921875,0.09,0.45096,0.25,0.4
2020-09-02,1.1923214197158811,1.1858757257461547,1.1864809821112292,1.1790887974369328,0.0073921846742963,1.1965965419532032,1.1722152323006418,0.0098876442228044,47.06688534265518,1.1890556812286377,1.1856762170791626,1.1957008838653564,1.1790310144424438,1.1990803480148315,1.1756515502929688,1.2057255506515503,3.644144507042078,0.0080485343933103,13243.4296875,3580.840087890625,12056.4404296875,0.09,0.45096,0.25,0.4
