,Close,FTSEMIB.MI,^DJI,^FCHI,^GDAXI,^GSPC,^IXIC,usd_interest,usd_inflation,eur_interest,eur_inflation
2022-04-12,1.087795972824097,24667.0,34220.359375,6537.41015625,14124.9501953125,4397.4501953125,13371.5703125,0.33,9.75365,0.25,5.9
2022-04-13,1.0826143026351929,24722.0,34564.58984375,6542.14013671875,14076.4404296875,4446.58984375,13643.58984375,0.33,9.75365,0.25,5.9
2022-04-14,1.089656949043274,24862.0,34451.23046875,6589.35009765625,14163.849609375,4392.58984375,13351.080078125,0.33,9.75365,0.25,5.9
2022-04-19,1.0781787633895874,24624.0,34911.19921875,6534.7900390625,14153.4599609375,4462.2099609375,13619.66015625,0.33,9.75365,0.25,5.9
2022-04-20,1.0794472694396973,24878.0,35160.7890625,6624.91015625,14362.0302734375,4459.4501953125,13453.0703125,0.33,9.75365,0.25,5.9
2022-04-21,1.0849870443344116,24806.0,34792.76171875,6715.10009765625,14502.41015625,4393.66015625,13174.650390625,0.33,9.75365,0.25,7.4
2022-04-22,1.0835175514221191,24280.0,33811.3984375,6581.419921875,14142.08984375,4271.77978515625,12839.2900390625,0.33,9.75365,0.25,7.4
2022-04-25,1.0811045169830322,23909.0,34049.4609375,6449.3798828125,13924.169921875,4296.1201171875,13004.849609375,0.33,9.75365,0.25,7.4
2022-04-26,1.0714209079742432,23682.0,33240.1796875,6414.56982421875,13756.400390625,4175.2001953125,12490.740234375,0.33,9.75365,0.25,7.4
2022-04-27,1.0643619298934937,23830.0,33301.9296875,6445.259765625,13793.9404296875,4183.9599609375,12488.9296875,0.33,9.75365,0.25,7.4
2022-04-28,1.0555092096328735,24056.0,33916.390625,6508.14013671875,13979.83984375,4287.5,12871.5302734375,0.33,9.75365,0.25,7.4
2022-04-29,1.050420165061951,24252.0,32977.2109375,6533.77001953125,14097.8798828125,4131.93017578125,12334.6396484375,0.33,9.75365,0.25,7.4
2022-05-02,1.0535964965820312,23857.0,33061.5,6425.60986328125,13939.0703125,4155.3798828125,12536.01953125,0.33,9.75365,0.25,7.4
2022-05-03,1.0509058237075806,24242.0,33128.7890625,6476.18017578125,14039.4697265625,4175.47998046875,12563.759765625,0.33,9.75365,0.25,7.4
2022-05-04,1.052853226661682,23902.0,34061.05859375,6395.68017578125,13970.8203125,4300.169921875,12964.8603515625,0.33,9.75365,0.25,7.4
2022-05-05,1.0622477531433103,23760.0,32997.96875,6368.39990234375,13902.51953125,4146.8701171875,12317.6904296875,0.83,9.75365,0.25,7.4
2022-05-06,1.0539740324020386,23476.0,32899.37109375,6258.35986328125,13674.2900390625,4123.33984375,12144.66015625,0.83,9.75365,0.25,7.4
2022-05-09,1.053219199180603,22833.0,32245.69921875,6086.02001953125,13380.669921875,3991.239990234375,11623.25,0.83,9.75365,0.25,7.4
2022-05-10,1.056579828262329,23070.0,32160.740234375,6116.91015625,13534.740234375,4001.050048828125,11737.669921875,0.83,9.75365,0.25,7.4
2022-05-11,1.0532968044281006,23724.0,31834.109375,6269.72998046875,13828.6396484375,3935.179931640625,11364.240234375,0.83,9.30359,0.25,7.4
2022-05-12,1.05124831199646,23566.0,31730.30078125,6206.259765625,13739.6396484375,3930.080078125,11370.9599609375,0.83,9.30359,0.25,7.4
2022-05-13,1.0379581451416016,24048.0,32196.66015625,6362.68017578125,14027.9296875,4023.889892578125,11805.0,0.83,9.30359,0.25,7.4
2022-05-16,1.0400632619857788,24033.0,32223.419921875,6347.77001953125,13964.3798828125,4008.010009765625,11662.7900390625,0.83,9.30359,0.25,7.4
2022-05-17,1.0438958406448364,24302.0,32654.58984375,6430.18994140625,14185.9404296875,4088.85009765625,11984.51953125,0.83,9.30359,0.25,7.4
2022-05-18,1.0547856092453003,24086.0,31490.0703125,6352.93994140625,14007.759765625,3923.679931640625,11418.150390625,0.83,9.30359,0.25,7.4
2022-05-19,1.0472739934921265,24065.0,31253.130859375,6272.7099609375,13882.2998046875,3900.7900390625,11388.5,0.83,9.30359,0.25,7.4
2022-05-20,1.057898759841919,24095.0,31261.900390625,6285.240234375,13981.91015625,3901.360107421875,11354.6201171875,0.83,9.30359,0.25,7.4
