,Close,^DJI,^GSPC,^IXIC,^SSMI,usd_interest,usd_inflation,chf_interest,chf_inflation
2020-08-21,1.1029006242752075,27930.330078125,3397.159912109375,11311.7998046875,10218.2001953125,0.09,0.45096,-0.75,-1.2
2020-08-24,1.096731662750244,28308.4609375,3431.280029296875,11379.7197265625,10308.3896484375,0.09,0.45096,-0.75,-1.2
2020-08-25,1.0966354608535769,28248.439453125,3443.6201171875,11466.4697265625,10231.25,0.09,0.45096,-0.75,-1.2
2020-08-26,1.1013579368591309,28331.919921875,3478.72998046875,11665.0595703125,10309.650390625,0.09,0.45096,-0.75,-1.2
2020-08-27,1.102074146270752,28492.26953125,3484.550048828125,11625.33984375,10240.4599609375,0.08,0.45096,-0.75,-1.2
2020-08-28,1.1001100540161133,28653.869140625,3508.010009765625,11695.6298828125,10164.490234375,0.09,0.45096,-0.75,-1.2
2020-08-31,1.1066844463348389,28430.05078125,3500.31005859375,11775.4599609375,10135.5595703125,0.09,0.45096,-0.75,-1.2
2020-09-01,1.1063170433044434,28645.66015625,3526.64990234375,11939.669921875,10188.849609375,0.09,0.45096,-0.75,-1.2
2020-09-02,1.09966242313385,29100.5,3580.840087890625,12056.4404296875,10384.83984375,0.09,0.45096,-0.75,-1.2
2020-09-03,1.097477912902832,28292.73046875,3455.06005859375,11458.099609375,10220.6396484375,0.09,0.45096,-0.75,-1.4
2020-09-04,1.0988527536392212,28133.310546875,3426.9599609375,11313.1298828125,10153.08984375,0.09,0.45096,-0.75,-1.4
2020-09-08,1.091238498687744,27500.890625,3331.840087890625,10847.6904296875,10250.4404296875,0.09,0.45096,-0.75,-1.4
2020-09-09,1.089561939239502,27940.470703125,3398.9599609375,11141.5595703125,10406.5703125,0.09,0.45096,-0.75,-1.4
2020-09-10,1.0963228940963743,27534.580078125,3339.18994140625,10919.58984375,10387.4404296875,0.09,0.45096,-0.75,-1.4
2020-09-11,1.098575234413147,27665.640625,3340.969970703125,10853.5498046875,10439.51953125,0.09,0.90276,-0.75,-1.4
2020-09-14,1.1002068519592283,27993.330078125,3383.5400390625,11056.650390625,10457.4296875,0.09,0.90276,-0.75,-1.4
2020-09-15,1.10093355178833,27995.599609375,3401.199951171875,11190.3203125,10520.0,0.09,0.90276,-0.75,-1.4
2020-09-16,1.1006791591644287,28032.380859375,3385.489990234375,11050.4697265625,10552.0400390625,0.09,0.90276,-0.75,-1.4
2020-09-17,1.0982011556625366,27901.98046875,3357.010009765625,10910.2802734375,10519.330078125,0.09,0.90276,-0.75,-1.4
2020-09-18,1.100969910621643,27657.419921875,3319.469970703125,10793.2802734375,10539.169921875,0.09,0.90276,-0.75,-1.4
2020-09-21,1.0975502729415894,27147.69921875,3281.06005859375,10778.7998046875,10325.4404296875,0.09,0.90276,-0.75,-1.4
2020-09-22,1.0928232669830322,27288.1796875,3315.570068359375,10963.6396484375,10355.5703125,0.09,0.90276,-0.75,-1.4
2020-09-23,1.087074637413025,26763.130859375,3236.919921875,10632.990234375,10330.0595703125,0.09,0.90276,-0.75,-1.4
2020-09-24,1.082309603691101,26815.439453125,3246.590087890625,10672.26953125,10211.5302734375,0.09,0.90276,-0.75,-1.4
2020-09-25,1.0790512561798096,27173.9609375,3298.4599609375,10913.5595703125,10216.2802734375,0.09,0.90276,-0.75,-1.4
2020-09-28,1.0774585008621216,27584.060546875,3351.60009765625,11117.5302734375,10308.669921875,0.09,0.90276,-0.75,-1.4
2020-09-29,1.082555651664734,27452.66015625,3335.469970703125,11085.25,10229.2998046875,0.09,0.90276,-0.75,-1.4
2020-09-30,1.0876185894012451,27781.69921875,3363.0,11167.509765625,10187.0,0.09,0.90276,-0.75,-1.4
2020-10-01,1.086130142211914,27816.900390625,3380.800048828125,11326.509765625,10238.1201171875,0.09,0.90276,-0.75,-1.1
2020-10-02,1.0881630182266235,27682.810546875,3348.419921875,11075.01953125,10252.400390625,0.09,0.90276,-0.75,-1.1
2020-10-05,1.0894432067871094,28148.640625,3408.60009765625,11332.490234375,10303.0595703125,0.09,0.90276,-0.75,-1.1
2020-10-06,1.0928363800048828,27772.759765625,3360.969970703125,11154.599609375,10233.16015625,0.09,0.90276,-0.75,-1.1
2020-10-07,1.089751958847046,28303.4609375,3419.43994140625,11364.599609375,10187.8798828125,0.09,0.90276,-0.75,-1.1
2020-10-08,1.090778946876526,28425.509765625,3446.830078125,11420.98046875,10270.240234375,0.09,0.90276,-0.75,-1.1
2020-10-09,1.090869426727295,28586.900390625,3477.139892578125,11579.9404296875,10320.0302734375,0.09,0.90276,-0.75,-1.1
2020-10-12,1.0983580350875854,28837.51953125,3534.219970703125,11876.259765625,10364.099609375,0.09,0.90276,-0.75,-1.1
2020-10-13,1.100097894668579,28679.810546875,3511.929931640625,11863.900390625,10336.3603515625,0.09,1.03422,-0.75,-1.1
2020-10-14,1.0926811695098877,28514.0,3488.669921875,11768.73046875,10292.66015625,0.09,1.03422,-0.75,-1.1
2020-10-15,1.094906449317932,28494.19921875,3483.340087890625,11713.8701171875,10067.9599609375,0.09,1.03422,-0.75,-1.1
2020-10-16,1.093732833862305,28606.310546875,3483.81005859375,11671.5595703125,10207.1298828125,0.09,1.03422,-0.75,-1.1
2020-10-19,1.0927648544311523,28195.419921875,3426.919921875,11478.8798828125,10184.3603515625,0.09,1.03422,-0.75,-1.1
2020-10-20,1.0982131958007812,28308.7890625,3443.1201171875,11516.490234375,10146.23046875,0.09,1.03422,-0.75,-1.1
2020-10-21,1.1029006242752075,28210.8203125,3435.56005859375,11484.6904296875,9989.75,0.09,1.03422,-0.75,-1.1
2020-10-22,1.104008674621582,28363.66015625,3453.489990234375,11506.009765625,9999.0498046875,0.09,1.03422,-0.75,-1.1
2020-10-23,1.1018069982528689,28335.5703125,3465.389892578125,11548.2802734375,10023.900390625,0.09,1.03422,-0.75,-1.1
2020-10-26,1.105509877204895,27685.380859375,3400.969970703125,11358.9404296875,9985.6201171875,0.09,1.03422,-0.75,-1.1
2020-10-27,1.1014429330825806,27463.189453125,3390.679931640625,11431.349609375,9887.490234375,0.09,1.03422,-0.75,-1.1
2020-10-28,1.1002613306045532,26519.94921875,3271.030029296875,11004.8701171875,9618.650390625,0.09,1.03422,-0.75,-1.1
2020-10-29,1.098189115524292,26659.109375,3310.110107421875,11185.58984375,9556.1396484375,0.09,1.03422,-0.75,-1.1
2020-10-30,1.0925259590148926,26501.599609375,3269.9599609375,10911.58984375,9587.150390625,0.09,1.03422,-0.75,-1.1
2020-11-02,1.0903223752975464,26925.05078125,3310.239990234375,10957.6103515625,9791.6796875,0.09,1.03422,-0.75,-1.1
2020-11-03,1.08840811252594,27480.029296875,3369.159912109375,11160.5703125,10003.8203125,0.09,1.03422,-0.75,-0.9
2020-11-04,1.0981287956237793,27847.66015625,3443.43994140625,11590.7802734375,10286.7900390625,0.09,1.03422,-0.75,-0.9
2020-11-05,1.0972130298614502,28390.1796875,3510.449951171875,11890.9296875,10306.349609375,0.09,1.03422,-0.75,-0.9
2020-11-06,1.105986714363098,28323.400390625,3509.43994140625,11895.23046875,10322.5703125,0.09,1.03422,-0.75,-0.9
2020-11-09,1.111951231956482,29157.970703125,3550.5,11713.7802734375,10417.990234375,0.09,1.03422,-0.75,-0.9
2020-11-10,1.095662236213684,29420.919921875,3545.530029296875,11553.8603515625,10360.6904296875,0.09,1.03422,-0.75,-0.9
2020-11-11,1.0929200649261477,29397.630859375,3572.659912109375,11786.4296875,10532.26953125,0.09,1.03422,-0.75,-0.9
2020-11-12,1.0910038948059082,29080.169921875,3537.010009765625,11709.58984375,10496.2001953125,0.09,0.79745,-0.75,-0.9
2020-11-13,1.0931111574172974,29479.810546875,3585.14990234375,11829.2900390625,10492.6103515625,0.09,0.79745,-0.75,-0.9
2020-11-16,1.0963950157165527,29950.439453125,3626.909912109375,11924.1298828125,10586.740234375,0.09,0.79745,-0.75,-0.9
2020-11-17,1.0960465669631958,29783.349609375,3609.530029296875,11899.33984375,10565.1201171875,0.09,0.79745,-0.75,-0.9
2020-11-18,1.0976948738098145,29438.419921875,3567.7900390625,11801.599609375,10563.8896484375,0.09,0.79745,-0.75,-0.9
2020-11-19,1.096659541130066,29483.23046875,3581.8701171875,11904.7099609375,10490.76953125,0.08,0.79745,-0.75,-0.9
2020-11-20,1.0977635383605957,29263.48046875,3557.5400390625,11854.9697265625,10495.650390625,0.08,0.79745,-0.75,-0.9
2020-11-23,1.098261475563049,29591.26953125,3577.590087890625,11880.6298828125,10464.400390625,0.08,0.79745,-0.75,-0.9
2020-11-24,1.0959625244140625,30046.240234375,3635.409912109375,12036.7900390625,10491.58984375,0.08,0.79745,-0.75,-0.9
2020-11-25,1.097935914993286,29872.470703125,3629.64990234375,12094.400390625,10488.26953125,0.08,0.79745,-0.75,-0.9
2020-11-27,1.1032413244247437,29910.369140625,3638.35009765625,12205.849609375,10501.1796875,0.08,0.79745,-0.75,-0.9
2020-11-30,1.1059132814407349,29638.640625,3621.6298828125,12198.740234375,10476.4296875,0.09,0.79745,-0.75,-0.9
2020-12-01,1.1009942293167114,29823.919921875,3662.449951171875,12355.1103515625,10449.2099609375,0.09,0.79745,-0.75,-0.9
