,Close,^DJI,^GSPC,^GSPTSE,^IXIC,usd_interest,usd_inflation,cad_interest,cad_inflation
2022-05-11,0.7673889994621277,31834.109375,3935.179931640625,19837.30078125,11364.240234375,0.83,9.30359,1.0,6.7
2022-05-12,0.7695622444152832,31730.30078125,3930.080078125,19699.099609375,11370.9599609375,0.83,9.30359,1.0,6.7
2022-05-13,0.767866313457489,32196.66015625,4023.889892578125,20099.80078125,11805.0,0.83,9.30359,1.0,6.7
2022-05-16,0.7747734189033508,32223.419921875,4008.010009765625,20206.400390625,11662.7900390625,0.83,9.30359,1.0,6.7
2022-05-17,0.7782101631164551,32654.58984375,4088.85009765625,20491.0,11984.51953125,0.83,9.30359,1.0,6.7
2022-05-18,0.7807559370994568,31490.0703125,3923.679931640625,20101.400390625,11418.150390625,0.83,9.30359,1.0,6.8
2022-05-19,0.7761444449424744,31253.130859375,3900.7900390625,20181.900390625,11388.5,0.83,9.30359,1.0,6.8
2022-05-20,0.7800555229187012,31261.900390625,3901.360107421875,20197.599609375,11354.6201171875,0.83,9.30359,1.0,6.8
2022-05-24,0.782038152217865,31928.619140625,3941.47998046875,20286.19921875,11264.4501953125,0.83,9.30359,1.0,6.8
2022-05-25,0.7798851728439331,32120.279296875,3978.72998046875,20383.80078125,11434.740234375,0.83,9.30359,1.0,6.8
2022-05-26,0.7800190448760986,32637.189453125,4057.840087890625,20532.19921875,11740.650390625,0.83,9.30359,1.0,6.8
2022-05-27,0.782901406288147,33212.9609375,4158.240234375,20748.599609375,12131.1298828125,0.83,9.30359,1.0,6.8
2022-05-31,0.7901890277862549,32990.12109375,4132.14990234375,20729.30078125,12081.3896484375,0.83,9.30359,1.0,6.8
2022-06-01,0.7912018299102783,32813.23046875,4101.22998046875,20713.69921875,11994.4599609375,0.83,9.30359,1.5,6.8
2022-06-02,0.7895588278770447,33248.28125,4176.81982421875,21031.80078125,12316.900390625,0.83,9.30359,1.5,6.8
2022-06-03,0.7955576181411743,32899.69921875,4108.5400390625,20790.69921875,12012.73046875,0.83,9.30359,1.5,6.8
2022-06-06,0.7946030497550964,32915.78125,4121.43017578125,20819.099609375,12061.3701171875,0.83,9.30359,1.5,6.8
2022-06-07,0.794912576675415,33180.140625,4160.68017578125,20928.19921875,12175.23046875,0.83,9.30359,1.5,6.8
2022-06-08,0.79766446352005,32910.8984375,4115.77001953125,20792.400390625,12086.26953125,0.83,9.30359,1.5,6.8
2022-06-09,0.7966857552528381,32272.7890625,4017.820068359375,20563.900390625,11754.23046875,0.83,9.30359,1.5,6.8
2022-06-10,0.7872341871261597,31392.7890625,3900.860107421875,20274.80078125,11340.01953125,0.83,9.62691,1.5,6.8
2022-06-13,0.7813965082168579,30516.740234375,3749.6298828125,19742.599609375,10809.23046875,0.83,9.62691,1.5,6.8
2022-06-14,0.7757951617240906,30364.830078125,3735.47998046875,19548.5,10828.349609375,0.83,9.62691,1.5,6.8
2022-06-15,0.7725110054016113,30668.529296875,3789.989990234375,19611.599609375,11099.150390625,0.83,9.62691,1.5,6.8
2022-06-16,0.776795506477356,29927.0703125,3666.77001953125,19004.099609375,10646.099609375,1.58,9.62691,1.5,6.8
2022-06-17,0.7719742655754089,29888.779296875,3674.840087890625,18930.5,10798.349609375,1.58,9.62691,1.5,6.8
2022-06-21,0.7703092098236084,30530.25,3764.7900390625,19257.30078125,11069.2998046875,1.58,9.62691,1.5,6.8
2022-06-22,0.7732815742492676,30483.130859375,3759.889892578125,19004.0,11053.080078125,1.58,9.62691,1.5,7.7
2022-06-23,0.771378755569458,30677.359375,3795.72998046875,18717.099609375,11232.1904296875,1.58,9.62691,1.5,7.7
2022-06-24,0.769994854927063,31500.6796875,3911.739990234375,19062.900390625,11607.6201171875,1.58,9.62691,1.5,7.7
2022-06-27,0.7753680944442749,31438.259765625,3900.110107421875,19258.30078125,11524.5498046875,1.58,9.62691,1.5,7.7
2022-06-28,0.7770611047744751,30946.990234375,3821.550048828125,19222.69921875,11181.5400390625,1.58,9.62691,1.5,7.7
2022-06-29,0.7768197059631348,31029.310546875,3818.830078125,19078.599609375,11177.8896484375,1.58,9.62691,1.5,7.7
2022-06-30,0.77619868516922,30775.4296875,3785.3798828125,18861.400390625,11028.740234375,1.58,9.62691,1.5,7.7
2022-07-05,0.7777682542800903,30967.8203125,3831.389892578125,18834.19921875,11322.240234375,1.58,9.62691,1.5,7.7
2022-07-06,0.7671771049499512,31037.6796875,3845.080078125,18729.69921875,11361.849609375,1.58,9.62691,1.5,7.7
2022-07-07,0.767224133014679,31384.55078125,3902.6201171875,19063.19921875,11621.349609375,1.58,9.62691,1.5,7.7
2022-07-08,0.7712478637695312,31338.150390625,3899.3798828125,19022.900390625,11635.3095703125,1.58,9.62691,1.5,7.7
2022-07-11,0.7723796963691711,31173.83984375,3854.429931640625,18816.80078125,11372.599609375,1.58,9.62691,1.5,7.7
