,Close,^DJI,^FTSE,^GSPC,^IXIC,usd_interest,usd_inflation,gbp_interest,gbp_inflation
2019-09-18,1.2502655982971191,27147.080078125,7314.10009765625,3006.72998046875,8177.39013671875,2.25,1.28584,0.75,1.7
2019-09-19,1.247053861618042,27094.7890625,7356.39990234375,3006.7900390625,8182.8798828125,1.9,1.28584,0.75,1.7
2019-09-20,1.25250506401062,26935.0703125,7344.89990234375,2992.070068359375,8117.669921875,1.9,1.28584,0.75,1.7
2019-09-23,1.2471938133239746,26949.990234375,7326.10009765625,2991.780029296875,8112.4599609375,1.9,1.28584,0.75,1.7
2019-09-24,1.243456244468689,26807.76953125,7291.39990234375,2966.60009765625,7993.6298828125,1.9,1.28584,0.75,1.7
2019-09-25,1.2485953569412231,26970.7109375,7290.0,2984.8701171875,8077.3798828125,1.9,1.28584,0.75,1.7
2019-09-26,1.2359564304351809,26891.119140625,7351.10009765625,2977.6201171875,8030.66015625,1.85,1.28584,0.75,1.7
2019-09-27,1.2331976890563965,26820.25,7426.2001953125,2961.7900390625,7939.6298828125,1.83,1.28584,0.75,1.7
2019-09-30,1.2293167114257812,26916.830078125,7408.2001953125,2976.739990234375,7999.33984375,1.9,1.28584,0.75,1.7
2019-10-01,1.2289994955062866,26573.0390625,7360.2998046875,2940.25,7908.68017578125,1.88,1.28584,0.75,1.7
2019-10-02,1.2292261123657229,26078.619140625,7122.5,2887.610107421875,7785.25,1.85,1.28584,0.75,1.7
2019-10-03,1.230436086654663,26201.0390625,7077.60009765625,2910.6298828125,7872.259765625,1.83,1.28584,0.75,1.7
2019-10-04,1.2342326641082764,26573.720703125,7155.39990234375,2952.010009765625,7982.47021484375,1.82,1.28584,0.75,1.7
2019-10-07,1.2334411144256592,26478.01953125,7197.89990234375,2938.7900390625,7956.2900390625,1.82,1.28584,0.75,1.7
2019-10-08,1.2288031578063965,26164.0390625,7143.2001953125,2893.06005859375,7823.77978515625,1.82,1.28584,0.75,1.7
2019-10-09,1.2219561338424685,26346.009765625,7166.5,2919.39990234375,7903.740234375,1.82,1.28584,0.75,1.7
2019-10-10,1.2212995290756226,26496.669921875,7186.39990234375,2938.1298828125,7950.77978515625,1.82,1.21812,0.75,1.7
2019-10-11,1.2433171272277832,26816.58984375,7247.10009765625,2970.27001953125,8057.0400390625,1.82,1.21812,0.75,1.7
2019-10-14,1.261899709701538,26787.359375,7213.5,2966.14990234375,8048.64990234375,1.82,1.21812,0.75,1.7
2019-10-15,1.2611771821975708,27024.80078125,7211.60009765625,2995.679931640625,8148.7099609375,1.9,1.21812,0.75,1.7
2019-10-16,1.2760635614395142,27001.98046875,7168.0,2989.68994140625,8124.18017578125,1.9,1.21812,0.75,1.7
2019-10-17,1.2823801040649414,27025.880859375,7182.2998046875,2997.949951171875,8156.85009765625,1.85,1.21812,0.75,1.7
2019-10-18,1.286860466003418,26770.19921875,7150.60009765625,2986.199951171875,8089.5400390625,1.85,1.21812,0.75,1.7
2019-10-21,1.2900229692459106,26827.640625,7163.60009765625,3006.719970703125,8162.990234375,1.85,1.21812,0.75,1.7
2019-10-22,1.297168254852295,26788.099609375,7212.5,2995.989990234375,8104.2998046875,1.85,1.21812,0.75,1.7
2019-10-23,1.2884771823883057,26833.94921875,7260.7001953125,3004.52001953125,8119.7900390625,1.85,1.21812,0.75,1.7
2019-10-24,1.2923235893249512,26805.529296875,7328.2998046875,3010.2900390625,8185.7998046875,1.85,1.21812,0.75,1.7
2019-10-25,1.2840267419815063,26958.060546875,7324.5,3022.550048828125,8243.1201171875,1.83,1.21812,0.75,1.7
2019-10-28,1.283202886581421,27090.720703125,7331.2998046875,3039.419921875,8325.990234375,1.83,1.21812,0.75,1.7
2019-10-29,1.2857435941696167,27071.4609375,7306.2998046875,3036.889892578125,8276.849609375,1.82,1.21812,0.75,1.7
2019-10-30,1.2866700887680054,27186.689453125,7330.7998046875,3046.77001953125,8303.98046875,1.82,1.21812,0.75,1.7
2019-10-31,1.290172815322876,27046.23046875,7248.39990234375,3037.56005859375,8292.3603515625,1.58,1.21812,0.75,1.7
2019-11-01,1.2939623594284058,27347.359375,7302.39990234375,3066.909912109375,8386.400390625,1.57,1.21812,0.75,1.7
2019-11-04,1.2937614917755127,27462.109375,7369.7001953125,3078.27001953125,8433.2001953125,1.56,1.21812,0.75,1.7
2019-11-05,1.2891582250595093,27492.630859375,7388.10009765625,3074.6201171875,8434.6796875,1.56,1.21812,0.75,1.7
2019-11-06,1.288062334060669,27492.560546875,7396.7001953125,3076.780029296875,8410.6298828125,1.55,1.21812,0.75,1.7
2019-11-07,1.2856775522232056,27674.80078125,7406.39990234375,3085.179931640625,8434.51953125,1.55,1.21812,0.75,1.7
2019-11-08,1.2779992818832395,27681.240234375,7359.39990234375,3093.080078125,8475.3095703125,1.55,1.21812,0.75,1.7
2019-11-11,1.2796396017074585,27691.490234375,7328.5,3087.010009765625,8464.2802734375,1.55,1.21812,0.75,1.7
2019-11-12,1.2858428955078125,27691.490234375,7365.39990234375,3091.840087890625,8486.08984375,1.55,1.21812,0.75,1.7
2019-11-13,1.285214900970459,27783.58984375,7351.2001953125,3094.0400390625,8482.099609375,1.55,1.31166,0.75,1.5
2019-11-14,1.2853800058364868,27781.9609375,7292.7998046875,3096.6298828125,8479.01953125,1.55,1.31166,0.75,1.5
2019-11-15,1.2881784439086914,28004.890625,7302.89990234375,3120.4599609375,8540.830078125,1.55,1.31166,0.75,1.5
