,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
1375,100,64,0.01,64,64,tanh,sigmoid,5.707320927030374e-06,0.002388999984727998,0.002063685162297732
842,100,16,0.01,32,16,sigmoid,tanh,5.707620864406294e-06,0.002389062758574227,0.0019887467704524943
887,100,16,0.01,64,64,sigmoid,tanh,5.720135987223005e-06,0.002391680578008486,0.0021677306889335245
57,50,16,0.001,64,16,sigmoid,relu,5.722232763319767e-06,0.0023921188856994057,0.0021134934844251425
1353,100,64,0.01,64,16,sigmoid,relu,5.728874711537555e-06,0.00239350678117643,0.0021066746300246646
42,50,16,0.001,32,32,tanh,relu,5.737405948939546e-06,0.002395288280967355,0.0019875016162542143
655,50,64,0.1,16,16,tanh,sigmoid,5.749586957764591e-06,0.002397829634849939,0.002076501428456897
77,50,16,0.001,64,64,sigmoid,tanh,5.75921342663675e-06,0.002399836124954525,0.0021243704103422975
850,100,16,0.01,32,32,sigmoid,sigmoid,5.770246846934412e-06,0.002402133811205032,0.0019290097011709314
1370,100,64,0.01,64,64,relu,tanh,5.77265917197337e-06,0.0024026358800228907,0.002157464267943378
16,50,16,0.001,16,32,tanh,sigmoid,5.77877355833137e-06,0.0024039079762610237,0.0020164645644902665
160,50,16,0.01,64,64,tanh,sigmoid,5.80450914227663e-06,0.002409254893587773,0.0020030845929506214
1117,100,32,0.01,64,32,relu,sigmoid,5.8153342644577305e-06,0.0024115004176772873,0.001994003558063209
48,50,16,0.001,32,64,sigmoid,relu,5.8203052055610544e-06,0.002412530871421349,0.0021558950301388186
816,100,16,0.01,16,16,tanh,relu,5.822274281264849e-06,0.002412938930280841,0.0018024228267179711
1343,100,64,0.01,32,64,relu,tanh,5.831326462225067e-06,0.0024148139601685814,0.002073610063706008
131,50,16,0.01,32,64,sigmoid,tanh,5.833931103123731e-06,0.0024153532046315156,0.0021411324840458178
357,50,32,0.01,32,16,tanh,relu,5.844993834824913e-06,0.002417642205708883,0.0021531367050624623
871,100,16,0.01,64,16,tanh,sigmoid,5.863807533039569e-06,0.00242152999837697,0.0020427510615554055
35,50,16,0.001,32,16,tanh,tanh,5.864386493398213e-06,0.002421649539755539,0.0021286394774045697
732,100,16,0.001,16,16,sigmoid,relu,5.865460228268596e-06,0.0024218712245428317,0.002178840022236991
1362,100,64,0.01,64,32,sigmoid,relu,5.867241999278433e-06,0.00242223904668355,0.0021373663277725195
284,50,32,0.001,32,32,sigmoid,tanh,5.87143155316367e-06,0.002423103702519492,0.0020547696101440387
612,50,64,0.01,32,64,relu,relu,5.889450232611842e-06,0.0024268189534062574,0.00187897127043012
854,100,16,0.01,32,32,tanh,tanh,5.8989243977550425e-06,0.0024287701409880357,0.002076280717342816
822,100,16,0.01,16,32,sigmoid,relu,5.909259727787142e-06,0.0024308968978109997,0.0018971588869452422
824,100,16,0.01,16,32,sigmoid,tanh,5.9096198388918515e-06,0.0024309709662790817,0.002026135617756181
858,100,16,0.01,32,64,sigmoid,relu,5.911757616422519e-06,0.0024314106227502005,0.0019431872890773377
1131,100,32,0.01,64,64,tanh,relu,5.9130482214398035e-06,0.002431676010787581,0.002118214050726406
