,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
577,50,64,0.01,16,32,relu,sigmoid,6.658796986577033e-06,0.0025804644904700844,0.0018983473669939746
268,50,32,0.001,16,64,tanh,sigmoid,6.695983963898328e-06,0.002587659939771516,0.0022076177674485997
421,50,32,0.1,16,32,tanh,sigmoid,6.696872521605077e-06,0.0025878316254356807,0.002300376203467458
626,50,64,0.01,64,16,sigmoid,tanh,6.711205705961206e-06,0.0025905994877559145,0.0021500206099593043
1222,100,64,0.001,16,16,tanh,sigmoid,6.75850322074755e-06,0.0025997121419010123,0.002086117759361541
803,100,16,0.001,64,64,relu,tanh,6.759191077633832e-06,0.002599844433352471,0.002220320208204816
642,50,64,0.01,64,64,sigmoid,relu,6.764930647947198e-06,0.002600948028690154,0.002197962140539235
1156,100,32,0.1,16,64,sigmoid,sigmoid,6.7699685598650785e-06,0.0026019163245318013,0.0022558440856300993
28,50,16,0.001,32,16,relu,sigmoid,6.785954691268313e-06,0.002604986505006948,0.0020511997459443797
20,50,16,0.001,16,64,relu,tanh,6.796725514663799e-06,0.0026070530325760155,0.002104424637371478
1407,100,64,0.1,32,16,sigmoid,relu,6.808905271726007e-06,0.002609387911316753,0.0023439171019950258
346,50,32,0.01,16,64,sigmoid,sigmoid,6.83591828803612e-06,0.0026145589088861854,0.0021862796031521404
196,50,16,0.1,32,16,tanh,sigmoid,6.867440330930438e-06,0.002620580151594383,0.0022203664149859515
905,100,16,0.1,16,32,sigmoid,tanh,6.880846367895294e-06,0.0026231367421267414,0.002320773663627224
1037,100,32,0.001,64,32,relu,tanh,6.8809809171996465e-06,0.0026231623886446005,0.00201669097193474
576,50,64,0.01,16,32,relu,relu,6.90987197593006e-06,0.002628663534180451,0.0022344525146222776
613,50,64,0.01,32,64,relu,sigmoid,6.927267669524692e-06,0.0026319703017938277,0.002210059179933453
616,50,64,0.01,32,64,sigmoid,sigmoid,6.929175281056127e-06,0.002632332669146536,0.002215103728637178
390,50,32,0.01,64,32,sigmoid,relu,6.933040247955505e-06,0.0026330667002481167,0.0022341951098878805
1417,100,64,0.1,32,32,sigmoid,sigmoid,6.960939388875575e-06,0.0026383592228647664,0.0021460921661020844
607,50,64,0.01,32,32,sigmoid,sigmoid,6.964677772031895e-06,0.0026390675951994663,0.0022231287882158012
77,50,16,0.001,64,64,sigmoid,tanh,6.974422106100633e-06,0.002640913119756239,0.0021627113399856467
1251,100,64,0.001,32,32,relu,relu,6.992099763117567e-06,0.002644257885138582,0.00220966506327093
285,50,32,0.001,32,32,tanh,relu,6.999490142337531e-06,0.002645654955268644,0.0022642668473786915
178,50,16,0.1,16,32,tanh,sigmoid,7.011774250710866e-06,0.002647975500398534,0.0019788769094747022
276,50,32,0.001,32,16,tanh,relu,7.0198112496634315e-06,0.0026494926400470395,0.002125900323226831
65,50,16,0.001,64,32,relu,tanh,7.027302812895544e-06,0.0026509060362252647,0.0022985050023241207
355,50,32,0.01,32,16,sigmoid,sigmoid,7.060358311345873e-06,0.0026571334763887703,0.0022642798593007917
8,50,16,0.001,16,16,tanh,tanh,7.069527061939153e-06,0.0026588582252423977,0.0023664068503122552
720,50,64,0.1,64,64,relu,relu,7.072025147016241e-06,0.002659327950256651,0.002044643761285557
603,50,64,0.01,32,32,relu,relu,7.082190480700526e-06,0.002661238523826928,0.0022327716923569068
