,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
1070,100,32,0.01,16,32,tanh,tanh,5.44570999056256e-06,0.002333604506029794,0.0019729450344303317
1155,100,32,0.1,16,64,sigmoid,relu,5.452432371650225e-06,0.002335044404642067,0.0017500576618990193
480,50,32,0.1,64,64,sigmoid,relu,5.467273756665731e-06,0.002338220211328636,0.0020836274509649618
583,50,64,0.01,16,32,tanh,sigmoid,5.468005862110334e-06,0.0023383767579477723,0.0018497073564359941
785,100,16,0.001,64,16,relu,tanh,5.488660019836199e-06,0.0023427889405228546,0.0018907759030195013
57,50,16,0.001,64,16,sigmoid,relu,5.5054207484595765e-06,0.0023463633027431146,0.0020121799698676747
110,50,16,0.01,32,16,relu,tanh,5.511238714741304e-06,0.0023476027591441666,0.0018171077783821863
44,50,16,0.001,32,32,tanh,tanh,5.514541978142335e-06,0.0023483061934386528,0.0019080627619987784
334,50,32,0.01,16,32,relu,sigmoid,5.5217698970898615e-06,0.002349844653820729,0.002003330677312765
750,100,16,0.001,16,64,sigmoid,relu,5.5388163221610785e-06,0.002353468997493079,0.0020056264141009826
803,100,16,0.001,64,64,relu,tanh,5.556804166877532e-06,0.00235728745953427,0.0021049626658924017
390,50,32,0.01,64,32,sigmoid,relu,5.5736243996388945e-06,0.0023608524730780816,0.0020447433747780262
626,50,64,0.01,64,16,sigmoid,tanh,5.588152102520783e-06,0.002363927262527505,0.002044069183721295
1013,100,32,0.001,32,32,sigmoid,tanh,5.589649045912609e-06,0.0023642438634609185,0.0018745186918932614
821,100,16,0.01,16,32,relu,tanh,5.591918161346278e-06,0.002364723696617911,0.001876612165581336
1061,100,32,0.01,16,16,tanh,tanh,5.624631260845052e-06,0.002371630506812782,0.0020191542155333507
30,50,16,0.001,32,16,sigmoid,relu,5.635158151072149e-06,0.0023738488054364684,0.0020203887577863082
630,50,64,0.01,64,32,relu,relu,5.637807750856543e-06,0.0023744068208410587,0.0019734873713432373
762,100,16,0.001,32,16,tanh,relu,5.657709213605547e-06,0.002378593957279289,0.0020148042143156527
1357,100,64,0.01,64,16,tanh,sigmoid,5.665314762245159e-06,0.002380192169184068,0.0020622696531238578
633,50,64,0.01,64,32,sigmoid,relu,5.678360961299278e-06,0.0023829311700716994,0.0020280326837090975
