,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
549,50,64,0.001,64,32,relu,relu,1.56096667802908e-05,0.003950907083226686,0.003384774248795932
296,50,32,0.001,32,64,tanh,tanh,1.5664344485253323e-05,0.00395782067371089,0.0035589747678497403
297,50,32,0.001,64,16,relu,relu,1.5675252463271783e-05,0.003959198462223356,0.0033933183539469228
305,50,32,0.001,64,16,tanh,tanh,1.567985670733044e-05,0.003959779881171482,0.003592168311231745
284,50,32,0.001,32,32,sigmoid,tanh,1.568048837465696e-05,0.003959859640777304,0.0036049162937152783
1240,100,64,0.001,16,64,tanh,sigmoid,1.575890558412816e-05,0.00396974880617504,0.003570695950645418
1218,100,64,0.001,16,16,sigmoid,relu,1.5765683014225438e-05,0.003970602349042955,0.0036154191124145043
39,50,16,0.001,32,32,sigmoid,relu,1.5770645871148796e-05,0.003971227250000785,0.0036099347462863474
286,50,32,0.001,32,32,tanh,sigmoid,1.5801841666951107e-05,0.003975153036922114,0.0035766072668529138
1238,100,64,0.001,16,64,sigmoid,tanh,1.5866315127402516e-05,0.003983254338779099,0.003613271798284335
268,50,32,0.001,16,64,tanh,sigmoid,1.59364532967025e-05,0.003992048759309247,0.0036858494081886324
1259,100,64,0.001,32,32,tanh,tanh,1.5944355971123555e-05,0.0039930384384730825,0.0035353758543778223
594,50,64,0.01,32,16,relu,relu,1.5956498848903206e-05,0.0039945586550835886,0.0035449030536161288
1398,100,64,0.1,16,64,sigmoid,relu,1.6003435703017945e-05,0.004000429439824923,0.0036230515589304965
55,50,16,0.001,64,16,relu,sigmoid,1.6025216571162123e-05,0.004003150830428717,0.0036312412482390165
1272,100,64,0.001,64,16,sigmoid,relu,1.605645626362998e-05,0.004007050818698208,0.003631219850856011
245,50,32,0.001,16,16,relu,tanh,1.6093234572727755e-05,0.004011637392976558,0.0034038536446206395
1295,100,64,0.001,64,64,tanh,tanh,1.6100150500183698e-05,0.004012499283511923,0.0036063647953405225
557,50,64,0.001,64,32,tanh,tanh,1.6137201653205413e-05,0.004017113597249325,0.0034955100575842528
520,50,64,0.001,32,16,tanh,sigmoid,1.620848394939786e-05,0.004025976148637478,0.0036725407275243448
1284,100,64,0.001,64,32,tanh,relu,1.621518278618392e-05,0.004026808014567359,0.0035783053805169937
231,50,16,0.1,64,32,tanh,relu,1.622707744908815e-05,0.004028284678257999,0.003609643553927552
1289,100,64,0.001,64,64,relu,tanh,1.6229776545275724e-05,0.00402861968238201,0.0034606586941236116
311,50,32,0.001,64,32,sigmoid,tanh,1.626119572615344e-05,0.004032517293968302,0.003688760695638017
285,50,32,0.001,32,32,tanh,relu,1.6263001523744177e-05,0.004032741192259203,0.003439451805663383
618,50,64,0.01,32,64,tanh,relu,1.6304301432583977e-05,0.004037858520625008,0.0036871927879410372
1220,100,64,0.001,16,16,sigmoid,tanh,1.6310277248710712e-05,0.004038598426274976,0.0036077090136390293
1263,100,64,0.001,32,64,sigmoid,relu,1.6334095390217325e-05,0.004041546163316377,0.003689473575476501
1203,100,32,0.1,64,32,tanh,relu,1.636524724168184e-05,0.004045398279734869,0.0036650893780485376
1292,100,64,0.001,64,64,sigmoid,tanh,1.6373411976380518e-05,0.004046407292448514,0.0036893618464387884
1250,100,64,0.001,32,16,tanh,tanh,1.6384657020010098e-05,0.004047796563565183,0.003522591048154753
417,50,32,0.1,16,32,sigmoid,relu,1.643310952385409e-05,0.00405377719218189,0.0037629401598982563
559,50,64,0.001,64,64,relu,sigmoid,1.646544226103566e-05,0.0040577632090889265,0.0036442760568585896
450,50,32,0.1,32,64,relu,relu,1.6467287732451e-05,0.004057990602804669,0.003586135694994953
545,50,64,0.001,64,16,sigmoid,tanh,1.6563358061567687e-05,0.004069810568265763,0.0037168964615288884
321,50,32,0.001,64,64,tanh,relu,1.6645572600282335e-05,0.004079898601715775,0.0036210996983279025
1219,100,64,0.001,16,16,sigmoid,sigmoid,1.6675258922743372e-05,0.004083535101201332,0.0037770273872344963
544,50,64,0.001,64,16,sigmoid,sigmoid,1.6694444629220645e-05,0.0040858835799886225,0.003743469177506984
696,50,64,0.1,32,64,sigmoid,relu,1.6814252737950003e-05,0.004100518593781768,0.003572001913892962
303,50,32,0.001,64,16,tanh,relu,1.6929296102960846e-05,0.0041145225850590305,0.0036958047141215163
320,50,32,0.001,64,64,sigmoid,tanh,1.6955001134252597e-05,0.004117645095713398,0.0037506644523559837
1254,100,64,0.001,32,32,sigmoid,relu,1.6968409885151066e-05,0.0041192729801690815,0.0037694003768104474
943,100,16,0.1,32,64,tanh,sigmoid,1.6997933504264045e-05,0.004122855018584093,0.003294965716719698
998,100,32,0.001,16,64,tanh,tanh,1.701030612570474e-05,0.004124355237574079,0.0035708385468538823
542,50,64,0.001,64,16,relu,tanh,1.7017694823561652e-05,0.004125250880075254,0.003623010961733559
313,50,32,0.001,64,32,tanh,sigmoid,1.706653331328013e-05,0.004131166096065387,0.003730870109242948
266,50,32,0.001,16,64,sigmoid,tanh,1.7074085495210584e-05,0.004132080044627715,0.0037472622684590305
1241,100,64,0.001,16,64,tanh,tanh,1.7087239003566976e-05,0.00413367137101717,0.0037126740783515575
1287,100,64,0.001,64,64,relu,relu,1.7141707854351937e-05,0.004140254563955209,0.003480907413556145
