,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
272,50,32,0.001,32,16,relu,tanh,3.5161159436536863e-06,0.0018751309137374078,0.0014923727931122452
1371,100,64,0.01,64,64,sigmoid,relu,3.5172534129025057e-06,0.0018754341931676796,0.0015936258691415601
994,100,32,0.001,16,64,sigmoid,sigmoid,3.525073505379579e-06,0.0018775179108012736,0.0015668513477997208
1039,100,32,0.001,64,32,sigmoid,sigmoid,3.5293472533302544e-06,0.0018786557037760417,0.0015926335394249012
316,50,32,0.001,64,64,relu,sigmoid,3.537968766985038e-06,0.0018809489006841834,0.0015989462795874688
1302,100,64,0.01,16,16,tanh,relu,3.5385694664308605e-06,0.001881108573801858,0.001472883760105546
1106,100,32,0.01,32,64,tanh,tanh,3.541196359156682e-06,0.0018818066742247149,0.0015130271494536718
954,100,16,0.1,64,32,relu,relu,3.5420592273672815e-06,0.0018820359261627504,0.001530151186498965
671,50,64,0.1,16,64,sigmoid,tanh,3.547852659089473e-06,0.0018835744368326602,0.0016161813020276652
805,100,16,0.001,64,64,sigmoid,sigmoid,3.552501132723898e-06,0.0018848079829849771,0.0015115996548853235
66,50,16,0.001,64,32,sigmoid,relu,3.5536575027065552e-06,0.0018851147187125125,0.0015241497928883093
878,100,16,0.01,64,32,sigmoid,tanh,3.556476305220996e-06,0.0018858622179843882,0.001592666851361299
1402,100,64,0.1,16,64,tanh,sigmoid,3.559644665703128e-06,0.001886702060661176,0.0015776571315452824
285,50,32,0.001,32,32,tanh,relu,3.5598107714514686e-06,0.001886746080279874,0.0015425450800975894
149,50,16,0.01,64,32,sigmoid,tanh,3.5606101882140405e-06,0.0018869579190363627,0.0015652284573944612
1078,100,32,0.01,16,64,tanh,sigmoid,3.5643282082603946e-06,0.001887942850898934,0.0014531940046156322
305,50,32,0.001,64,16,tanh,tanh,3.5661554248064566e-06,0.001888426706230998,0.0014583293461579475
1180,100,32,0.1,32,64,relu,sigmoid,3.56682115830454e-06,0.0018886029647081834,0.0015291587868481798
1149,100,32,0.1,16,32,tanh,relu,3.567796072691988e-06,0.0018888610517166127,0.0015097169010712722
597,50,64,0.01,32,16,sigmoid,relu,3.5689834419634348e-06,0.001889175333833108,0.0015718033105122725
743,100,16,0.001,16,32,sigmoid,tanh,3.572252669609333e-06,0.0018900403883539984,0.0015621122061672808
391,50,32,0.01,64,32,sigmoid,sigmoid,3.5746596304731985e-06,0.001890677029657154,0.0016084250990136672
95,50,16,0.01,16,32,sigmoid,tanh,3.5818808203884856e-06,0.0018925857498112168,0.0015245586392121392
1030,100,32,0.001,64,16,sigmoid,sigmoid,3.5824961745914093e-06,0.0018927483125316502,0.0015699291819021638
394,50,32,0.01,64,32,tanh,sigmoid,3.5834082643424336e-06,0.0018929892404190875,0.0015455407766157522
976,100,32,0.001,16,16,sigmoid,sigmoid,3.589037577959576e-06,0.0018944755416630684,0.001592049939475192
106,50,16,0.01,16,64,tanh,sigmoid,3.5913865619459697e-06,0.0018950953965291483,0.0016314149041650786
788,100,16,0.001,64,16,sigmoid,tanh,3.5936875346168173e-06,0.001895702385559721,0.0015424666723312423
585,50,64,0.01,16,64,relu,relu,3.599468142013019e-06,0.0018972264340381248,0.001633211918789411
1104,100,32,0.01,32,64,tanh,relu,3.5995306020600824e-06,0.001897242894850336,0.0015652608135649768
790,100,16,0.001,64,16,tanh,sigmoid,3.6044785857372944e-06,0.0018985464402371869,0.0015684821057896708
1125,100,32,0.01,64,64,relu,relu,3.618407311490291e-06,0.0019022111637487281,0.0016830259217952366
327,50,32,0.01,16,16,sigmoid,relu,3.6194559163389894e-06,0.0019024867716593956,0.0016148176456243515
322,50,32,0.001,64,64,tanh,sigmoid,3.6234908268269215e-06,0.0019035469069153305,0.0015974459137012903
1186,100,32,0.1,32,64,tanh,sigmoid,3.633961484819553e-06,0.001906295224989968,0.0017040577473671444
321,50,32,0.001,64,64,tanh,relu,3.6350050605004055e-06,0.0019065689236165593,0.0014972259622722793
135,50,16,0.01,64,16,relu,relu,3.6374505798151463e-06,0.0019072101561744962,0.0015613178248816597
679,50,64,0.1,32,16,sigmoid,sigmoid,3.638733508667951e-06,0.001907546463043024,0.0015310827784617443
1362,100,64,0.01,64,32,sigmoid,relu,3.6441412380232064e-06,0.0019089633935786214,0.0015594204781549526
96,50,16,0.01,16,32,tanh,relu,3.6490032303149935e-06,0.0019102364330927713,0.0015829806773693799
1114,100,32,0.01,64,16,tanh,sigmoid,3.6516521996099536e-06,0.0019109296689334104,0.0015327504383379077
1447,100,64,0.1,64,32,tanh,sigmoid,3.6522247883115464e-06,0.001911079482468363,0.0014497431420971683
72,50,16,0.001,64,64,relu,relu,3.653413818809521e-06,0.0019113905458617087,0.0014969620543422001
751,100,16,0.001,16,64,sigmoid,sigmoid,3.6550485034248557e-06,0.0019118181146293325,0.0015516980882716942
1079,100,32,0.01,16,64,tanh,tanh,3.655083702652555e-06,0.0019118273203018506,0.0014370586840259164
287,50,32,0.001,32,32,tanh,tanh,3.6585400076679166e-06,0.0019127310338016468,0.0015557189019373056
47,50,16,0.001,32,64,relu,tanh,3.6607962150137504e-06,0.0019133207297820588,0.0014950537279639089
982,100,32,0.001,16,32,relu,sigmoid,3.6665613088827473e-06,0.001914826704660959,0.0016091589406919513
990,100,32,0.001,16,64,relu,relu,3.679878558662936e-06,0.0019183009562273945,0.0016338168836024381
775,100,16,0.001,32,64,relu,sigmoid,3.6847662287405378e-06,0.0019195744915841474,0.0014983277155225926
303,50,32,0.001,64,16,tanh,relu,3.6865695432140335e-06,0.001920044151371013,0.0015852943999899087
576,50,64,0.01,16,32,relu,relu,3.69085094925938e-06,0.001921158751706735,0.0016296105581173747
879,100,16,0.01,64,32,tanh,relu,3.6909776786590463e-06,0.0019211917339659378,0.001636472747084194
628,50,64,0.01,64,16,tanh,sigmoid,3.7044502736406574e-06,0.0019246948520845212,0.0015836341181598229
459,50,32,0.1,64,16,relu,relu,3.7113535320699384e-06,0.0019264873558032865,0.001561923360823078
857,100,16,0.01,32,64,relu,tanh,3.7126988068421288e-06,0.0019268364764146772,0.0016619635583390302
373,50,32,0.01,32,64,sigmoid,sigmoid,3.7147208605803265e-06,0.0019273611131752986,0.001618692215459999
866,100,16,0.01,64,16,relu,tanh,3.7153690528272543e-06,0.0019275292612116824,0.0015717432837548818
1001,100,32,0.001,32,16,relu,tanh,3.7248191505337867e-06,0.0019299790544287745,0.0015751272193528377
864,100,16,0.01,64,16,relu,relu,3.7367866578119134e-06,0.0019330769922100653,0.0015392283161894962
1002,100,32,0.001,32,16,sigmoid,relu,3.7372189567854042e-06,0.001933188805260729,0.0015960935166859105
358,50,32,0.01,32,16,tanh,sigmoid,3.741268651650142e-06,0.0019342359348461452,0.0015729782148167853
835,100,16,0.01,16,64,tanh,sigmoid,3.7476350295373567e-06,0.0019358809440503714,0.0017057985816088697
869,100,16,0.01,64,16,sigmoid,tanh,3.7500685433272857e-06,0.001936509370833843,0.0016498556834974708
937,100,16,0.1,32,64,relu,sigmoid,3.7531640927841824e-06,0.00193730846609005,0.0014841613833031194
843,100,16,0.01,32,16,tanh,relu,3.76297392769813e-06,0.0019398386344482703,0.0016038409080050178
753,100,16,0.001,16,64,tanh,relu,3.764460203167181e-06,0.0019402216891806928,0.0015134504021992385
875,100,16,0.01,64,32,relu,tanh,3.7676608923678537e-06,0.0019410463395725136,0.0015866465056132283
824,100,16,0.01,16,32,sigmoid,tanh,3.774077568111919e-06,0.0019426985273356026,0.0015353921518228854
216,50,16,0.1,64,16,relu,relu,3.774447717716955e-06,0.0019427937918669997,0.0015225443860045786
1011,100,32,0.001,32,32,sigmoid,relu,3.7786914585512178e-06,0.001943885659845048,0.001659111051862469
1336,100,64,0.01,32,32,sigmoid,sigmoid,3.7916513749979124e-06,0.00194721631438264,0.0016484232469203685
581,50,64,0.01,16,32,sigmoid,tanh,3.7969001682035414e-06,0.0019485636166683246,0.001613088793422759
354,50,32,0.01,32,16,sigmoid,relu,3.7981492232187704e-06,0.0019488840969177131,0.0015758279355855952
638,50,64,0.01,64,32,tanh,tanh,3.8045245687968686e-06,0.0019505190511237948,0.0016764505092047445
88,50,16,0.01,16,16,tanh,sigmoid,3.80881539462774e-06,0.0019516186601454034,0.0015865103322916627
607,50,64,0.01,32,32,sigmoid,sigmoid,3.811260838674934e-06,0.0019522450764888444,0.0015964854622722254
1123,100,32,0.01,64,32,tanh,sigmoid,3.8119259575099125e-06,0.001952415416224199,0.0015518114164584133
1020,100,32,0.001,32,64,sigmoid,relu,3.819950133502224e-06,0.001954469271567661,0.0016518423593636742
297,50,32,0.001,64,16,relu,relu,3.823903683568307e-06,0.0019554804227013647,0.0015001187624382305
675,50,64,0.1,32,16,relu,relu,3.823985562810105e-06,0.0019555013584270672,0.001419320299344324
862,100,16,0.01,32,64,tanh,sigmoid,3.825329960109068e-06,0.0019558450756921083,0.0016885813923607073
731,100,16,0.001,16,16,relu,tanh,3.835783885184314e-06,0.0019585157352404177,0.0015158788167212022
1010,100,32,0.001,32,32,relu,tanh,3.836783118824512e-06,0.001958770818351272,0.001588542756705956
822,100,16,0.01,16,32,sigmoid,relu,3.8368241059968425e-06,0.0019587812807960064,0.0016352335500430875
803,100,16,0.001,64,64,relu,tanh,3.838185268828918e-06,0.0019591287014458537,0.0015237956816426016
77,50,16,0.001,64,64,sigmoid,tanh,3.8504783550722334e-06,0.0019622635794082897,0.001590436606728394
692,50,64,0.1,32,32,tanh,tanh,3.8554544874060536e-06,0.001963531127180329,0.0016287705098734615
416,50,32,0.1,16,32,relu,tanh,3.855830399375125e-06,0.001963626848302682,0.0013583426249065712
364,50,32,0.01,32,32,sigmoid,sigmoid,3.868436039888066e-06,0.0019668340143204933,0.0016143602533890279
863,100,16,0.01,32,64,tanh,tanh,3.868638640139905e-06,0.0019668855178021686,0.0015883134661485263
1055,100,32,0.01,16,16,relu,tanh,3.875600721450817e-06,0.001968654545990946,0.0016486557777571377
834,100,16,0.01,16,64,tanh,relu,3.881890354151695e-06,0.001970251342887931,0.0016274392446077746
812,100,16,0.01,16,16,relu,tanh,3.884001799639038e-06,0.001970787101550809,0.0016426318886820634
967,100,16,0.1,64,64,sigmoid,sigmoid,3.89222894417647e-06,0.0019728732711901363,0.0017351541486159139
1087,100,32,0.01,32,16,tanh,sigmoid,3.89648864848523e-06,0.0019739525446386065,0.0015531102439637382
809,100,16,0.001,64,64,tanh,tanh,3.899849765994203e-06,0.0019748037284738457,0.0016410275890880225
1040,100,32,0.001,64,32,sigmoid,tanh,3.914229585773675e-06,0.0019784412009897275,0.001680260063651532
1012,100,32,0.001,32,32,sigmoid,sigmoid,3.919384991214366e-06,0.0019797436680576517,0.0016517317352949378
92,50,16,0.01,16,32,relu,tanh,3.9223283818997456e-06,0.001980486905258337,0.001590741356164853
27,50,16,0.001,32,16,relu,relu,3.926665216535615e-06,0.0019815814937911625,0.0015681749669385747
189,50,16,0.1,32,16,relu,relu,3.930766454424111e-06,0.0019826160632921623,0.0014918696639844551
780,100,16,0.001,32,64,tanh,relu,3.931972693651811e-06,0.001982920243895808,0.0016088021136725988
889,100,16,0.01,64,64,tanh,sigmoid,3.944362829302169e-06,0.0019860420008907587,0.001811431885884386
542,50,64,0.001,64,16,relu,tanh,3.945356950713133e-06,0.0019862922621591045,0.0016731135926241444
844,100,16,0.01,32,16,tanh,sigmoid,3.9596523349106295e-06,0.001989887518155393,0.001629508932234371
1230,100,64,0.001,16,32,tanh,relu,3.969831925760662e-06,0.0019924437070493765,0.0016041781651358875
1262,100,64,0.001,32,64,relu,tanh,3.973980687135218e-06,0.0019934845590410823,0.0016049369965943012
116,50,16,0.01,32,16,tanh,tanh,3.977237939793687e-06,0.00199430136634203,0.0015001024444847976
853,100,16,0.01,32,32,tanh,sigmoid,3.984272614599496e-06,0.001996064281179215,0.001670864092806141
405,50,32,0.1,16,16,relu,relu,3.987668799819821e-06,0.0019969148203716203,0.001509134548279457
669,50,64,0.1,16,64,sigmoid,relu,3.992785553825145e-06,0.0019981955744684116,0.0017335003007218112
